"codigo_estado","codigo_municipio","qtd_membros","cadunico","bpc","pbf"
29,2926657,6383,6383,567,4685
29,2918506,12955,12955,929,9862
17,1706100,4412,4412,541,2441
41,4120804,8106,8106,833,3376
43,4313037,2252,2252,182,613
17,1713205,11148,11148,1842,5049
29,2927804,4043,4043,579,2615
31,3148905,1773,1773,224,675
29,2914208,4779,4779,400,3336
17,1716307,3124,3124,304,1778
16,1600600,76715,76715,12639,50899
52,5214408,4197,4197,556,1954
41,4116703,3900,3900,503,1601
24,2412807,6090,6090,477,4420
27,2709152,28134,28134,4010,17693
43,4321105,6594,6594,1169,2597
15,1504976,8771,8771,943,5809
31,3135902,3351,3351,425,1830
35,3510104,1344,1344,125,444
29,2924108,4941,4941,360,3843
43,4301875,2298,2298,450,1287
25,2500502,10364,10364,1059,8198
52,5203559,5609,5609,779,2373
16,1600808,9912,9912,684,8243
33,3302403,91197,91197,10561,53212
43,4313805,3107,3107,266,1706
41,4116604,2325,2325,184,826
21,2107407,13646,13646,1570,10424
35,3554409,1883,1883,250,635
29,2922003,23666,23666,3149,12203
35,3501301,9819,9819,1030,5315
25,2503555,6344,6344,377,5290
31,3115003,1448,1448,147,679
25,2500775,6703,6703,681,4420
26,2613602,20287,20287,2208,13826
24,2414506,7602,7602,674,4959
21,2109700,4647,4647,317,3312
