Código IBGE,Nome do Municipio,uf,maior_media_anual,ano_maior_media,maior_media_semestral,semestre_maior_media,maior_diferenca_entre_meses,ano_maior_diferença_ano,media_pessoas_geral,max_valor,min_valor
210173,BELÁGUA,MA,163.58,2025,164.83,2025_S2,22,2024,143.12,168,115
520320,BARRO ALTO,GO,163.43,2026,163.83,2026_S1,22,2023,140.08,169,107
355190,SEVERÍNIA,SP,163.25,2025,164.5,2025_S1,14,2025,158.67,170,151
290240,AURELINO LEAL,BA,163.17,2024,164.33,2024_S2,30,2023,151.75,168,126
316260,SÃO JOÃO DO ORIENTE,MG,163.17,2025,165.67,2025_S1,13,2023,153.94,167,135
355270,TABATINGA,SP,163.14,2026,164.0,2026_S2,40,2024,135.67,166,98
292350,PALMEIRAS,BA,163.08,2024,166.17,2025_S1,13,2025,156.27,167,142
311670,COIMBRA,MG,163.0,2026,165.0,2026_S2,25,2024,138.73,167,99
420207,BALNEÁRIO GAIVOTA,SC,162.86,2026,175.0,2026_S2,25,2024,124.75,175,77
312380,ENGENHEIRO NAVARRO,MG,162.86,2026,168.0,2026_S2,22,2024,127.02,169,95
421120,MORRO DA FUMAÇA,SC,162.58,2025,163.33,2025_S1,15,2024,151.65,166,129
330590,TRAJANO DE MORAES,RJ,162.5,2025,168.0,2026_S2,17,2024,154.15,168,137
412510,SÃO JOÃO DO TRIUNFO,PR,162.42,2025,163.17,2025_S1,18,2026,151.1,167,137
210355,CONCEIÇÃO DO LAGO-AÇU,MA,162.42,2025,164.0,2025_S2,17,2023,147.25,166,123
410425,CAMPO MAGRO,PR,162.29,2026,168.0,2026_S2,32,2023,128.0,168,83
351900,HERCULÂNDIA,SP,162.25,2025,164.83,2025_S1,22,2024,147.71,167,128
311780,CONCEIÇÃO DOS OUROS,MG,161.92,2025,162.0,2025_S1,33,2023,142.98,164,97
430140,ARVOREZINHA,RS,161.67,2025,166.33,2025_S2,16,2024,146.4,168,122
330412,QUATIS,RJ,161.67,2025,162.33,2025_S2,28,2023,141.19,165,102
280240,GARARU,SE,161.67,2025,162.83,2025_S2,18,2024,147.69,164,117
315290,PRATÁPOLIS,MG,161.43,2026,170.0,2026_S2,19,2024,141.67,170,116
330022,AREAL,RJ,161.25,2024,161.5,2024_S2,18,2023,153.19,166,129
150340,INHANGAPI,PA,161.0,2026,161.67,2026_S1,15,2024,147.44,166,125
292273,NOVA FÁTIMA,BA,161.0,2026,163.67,2025_S2,15,2025,146.1,165,127
150450,MELGAÇO,PA,161.0,2026,162.0,2026_S1,112,2023,119.19,168,34
431150,LAVRAS DO SUL,RS,160.92,2024,163.33,2024_S2,10,2023,155.79,165,144
316330,SÃO JOSÉ DO DIVINO,MG,160.83,2025,163.33,2025_S2,17,2023,147.02,166,122
520170,ARAGARÇAS,GO,160.71,2026,167.0,2026_S2,19,2025,136.31,167,122
291010,DOM BASÍLIO,BA,160.67,2025,165.83,2025_S2,21,2025,135.98,167,103
316600,SENHORA DE OLIVEIRA,MG,160.58,2025,161.83,2025_S1,13,2025,154.98,167,145
421880,TURVO,SC,160.5,2024,164.5,2024_S2,18,2023,151.27,168,129
412490,SÃO JOÃO DO CAIUÁ,PR,160.33,2024,166.67,2024_S1,50,2024,143.27,175,122
240210,CAMPO REDONDO,RN,160.33,2025,164.33,2025_S2,15,2025,144.9,166,124
312830,GUARANÉSIA,MG,160.29,2026,161.17,2026_S1,24,2024,133.46,164,104
250610,FAGUNDES,PB,160.25,2025,165.67,2025_S2,23,2024,143.83,168,124
500795,TACURU,MS,160.25,2025,166.5,2024_S2,29,2024,145.9,171,124
430860,GARIBALDI,RS,160.25,2025,162.0,2025_S2,20,2023,140.73,166,107
314150,MENDES PIMENTEL,MG,160.25,2025,162.67,2025_S2,15,2023,145.35,165,121
293140,TEODORO SAMPAIO,BA,160.17,2025,162.17,2025_S2,24,2024,142.65,164,117
430543,CHUÍ,RS,160.08,2024,162.83,2024_S2,13,2022,154.6,164,131
312890,GUIMARÂNIA,MG,160.0,2026,161.0,2026_S2,11,2024,142.42,163,122
250760,JUAREZ TÁVORA,PB,159.71,2026,163.0,2026_S2,26,2025,122.48,163,93
521630,PARANAIGUARA,GO,159.58,2025,161.67,2025_S2,23,2024,142.42,164,115
250520,CUITEGI,PB,159.43,2026,162.83,2025_S2,23,2024,139.04,166,113
250990,NATUBA,PB,159.14,2026,164.0,2026_S2,18,2025,144.96,164,129
432166,TRÊS CACHOEIRAS,RS,159.0,2026,161.0,2026_S2,29,2024,122.92,161,84
260690,IGUARACY,PE,159.0,2026,170.0,2026_S2,21,2023,134.15,170,96
